establecimientocodigo,establecimientoglosa,regioncodigo,regionglosa,comunacodigo,comunaglosa,serviciosaludcodigo,serviciosaludglosa,tipoestablecimiento,dependenciaadministrativa,nivelatencion,tipourgencia,latitud,longitud,nivelcomplejidad,anio,semanaestadistica,ordencausa,causa,numtotal,nummenor1anio,num1a4anios,num5a14anios,num15a64anios,num65omas,fechaatenciontexto,sexopaciente,prioridadtriage,costoatencionclp
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,1,3,bronquitis/bronquiolitis aguda,105,31,31,21,18,4,2023-01-02,M,C3,93830.0
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,1,4,crisis asmática,189,5,19,44,108,13,2023-01-02,M,C4,77994.0
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,1,5,insuficiencia respiratoria aguda,165,5,14,8,53,85,2023-01-02,M,C2,70536.0
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,1,6,covid-19 sospecha/confirmada,108,9,14,25,44,16,2023-02-01,F,C3,69378.0
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,2,1,influenza y neumonia,106,9,8,16,38,35,2023-01-09,M,C4,90685.0
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,2,2,infeccion respiratoria aguda alta,131,13,16,29,55,18,2023-09-01,F,C4,93085.0
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,2,3,bronquitis/bronquiolitis aguda,100,27,26,19,21,7,2023-09-01,F,C4,115624.0
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,2,4,crisis asmática,67,9,7,15,27,9,2023-01-09,F,C1,101892.0
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,2,5,insuficiencia respiratoria aguda,201,11,11,11,69,99,2023-09-01,F,C3,67310.0
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,2,6,covid-19 sospecha/confirmada,151,8,19,39,63,22,2023-01-09,F,C4,115355.0
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,2,1,influenza y neumonia,92,6,7,12,44,23,2023-01-09,F,C1,86901.0
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,2,2,infeccion respiratoria aguda alta,164,13,22,37,66,26,2023-01-09,F,C4,100352.0
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,2,3,bronquitis/bronquiolitis aguda,205,63,50,35,51,6,2023-01-09,M,C2,123904.0
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,2,4,crisis asmática,175,7,20,46,90,12,2023-01-09,F,C4,112777.0
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,2,5,insuficiencia respiratoria aguda,118,1,4,9,42,62,2023-09-01,F,C3,57294.0
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,2,6,covid-19 sospecha/confirmada,146,8,19,23,79,17,2023-09-01,F,C5,114100.0
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,2,1,influenza y neumonia,193,11,15,38,79,50,2023-01-09,M,C4,62262.0
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,2,2,infeccion respiratoria aguda alta,148,8,17,31,62,30,2023-01-09,M,C3,80263.0
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,2,3,bronquitis/bronquiolitis aguda,83,18,29,14,19,3,2023-09-01,F,C1,137886.0
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,2,4,crisis asmática,147,9,19,38,64,17,2023-01-09,M,C3,104242.0
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,2,5,insuficiencia respiratoria aguda,92,2,3,8,32,47,2023-01-09,F,C4,101482.0
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,2,6,covid-19 sospecha/confirmada,138,6,15,39,62,16,2023-09-01,F,C3,119117.0
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,2,1,influenza y neumonia,132,10,12,20,56,34,2023-09-01,F,C4,101084.0
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),0.0,-70.7766,sin información,2023,2,2,infeccion respiratoria aguda alta,129,12,16,21,66,14,2023-01-09,M,C3,86085.0
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,2,3,bronquitis/bronquiolitis aguda,44,18,10,6,8,2,2023-01-09,F,C1,30641.0
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,2,4,crisis asmática,132,7,19,40,55,11,2023-01-09,M,C3,125938.0
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,2,5,insuficiencia respiratoria aguda,79,2,4,4,26,43,2023-01-09,F,C2,72151.0
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,2,6,covid-19 sospecha/confirmada,192,9,26,43,83,31,2023-01-09,F,C4,42445.0
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,2,1,influenza y neumonia,185,18,16,33,86,32,2023-01-09,M,C2,89700.0
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,2,3,bronquitis/bronquiolitis aguda,173,43,45,28,48,9,2023-09-01,M,C5,122340.0
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,2,4,crisis asmática,204,8,32,61,78,25,2023-01-09,M,C3,97848.0
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,2,5,insuficiencia respiratoria aguda,203,5,5,11,80,102,2023-01-09,F,C3,88048.0
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,2,6,covid-19 sospecha/confirmada,60,4,5,12,26,13,2023-01-09,F,C2,67175.0
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,3,1,influenza y neumonia,46,4,7,9,18,8,2023-01-16,F,C3,77987.0
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,3,2,infeccion respiratoria aguda alta,132,16,17,23,62,14,2023-01-16,M,C5,96169.0
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,3,3,bronquitis/bronquiolitis aguda,197,50,43,43,49,12,2023-01-16,F,C2,97687.0
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,3,4,crisis asmática,56,3,5,15,27,6,2023-01-16,M,C5,122255.0
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,3,5,insuficiencia respiratoria aguda,92,4,8,6,36,38,2023-01-16,F,C3,106730.0
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,3,6,covid-19 sospecha/confirmada,90,3,8,16,49,14,2023-01-16,M,C3,120851.0
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,3,1,influenza y neumonia,62,8,2,7,23,22,2023-01-16,M,C3,76440.0
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,3,2,infeccion respiratoria aguda alta,185,12,24,41,82,26,2023-01-16,M,C4,84813.0
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,3,3,bronquitis/bronquiolitis aguda,135,39,37,29,22,8,2023-01-16,F,C3,96006.0
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,3,4,crisis asmática,146,7,18,58,48,15,2023-01-16,F,C5,97271.0
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,3,5,insuficiencia respiratoria aguda,176,7,7,20,59,83,2023-01-16,M,C4,94197.0
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,3,6,covid-19 sospecha/confirmada,171,15,21,34,81,20,2023-01-16,M,C1,104591.0
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,3,1,influenza y neumonia,109,20,18,12,35,24,2023-01-16,F,C4,102507.0
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,3,2,infeccion respiratoria aguda alta,119,6,14,20,53,26,2023-01-16,M,C3,129911.0
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,3,3,bronquitis/bronquiolitis aguda,51,16,11,7,13,4,2023-01-16,M,C3,72010.0
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,3,4,crisis asmática,143,10,15,35,67,16,2023-01-16,F,C4,119252.0
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,3,5,insuficiencia respiratoria aguda,92,3,5,10,30,44,2023-01-16,M,C2,1533424.0
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,3,6,covid-19 sospecha/confirmada,100,7,11,26,44,12,2023-01-16,M,C4,83297.0
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,3,1,influenza y neumonia,154,12,23,20,62,37,2023-01-16,F,C2,150319.0
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,3,2,infeccion respiratoria aguda alta,149,11,17,31,69,21,2023-01-16,M,C4,100803.0
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,3,3,bronquitis/bronquiolitis aguda,55,16,17,9,8,5,2023-01-16,M,C2,43244.0
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,3,4,crisis asmática,88,3,6,23,48,8,2023-01-16,M,C2,115655.0
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,3,5,insuficiencia respiratoria aguda,95,3,3,10,33,46,2023-01-16,M,C1,118266.0
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,3,6,covid-19 sospecha/confirmada,124,5,15,28,57,19,2023-01-16,M,C2,134642.0
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,3,1,influenza y neumonia,218,20,18,31,91,58,2023-01-16,F,C3,108637.0
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,3,2,infeccion respiratoria aguda alta,174,7,17,34,83,33,2023-01-16,M,C3,41253.0
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,3,3,bronquitis/bronquiolitis aguda,204,66,52,41,38,7,2023-01-16,F,C4,68441.0
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,sin información,-38.7397,-72.5984,alta complejidad,2023,3,4,crisis asmática,151,6,14,39,75,17,2023-01-16,Desconocido,C4,115028.0
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,3,5,insuficiencia respiratoria aguda,102,3,3,6,39,51,2023-01-16,M,C4,99216.0
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,3,6,covid-19 sospecha/confirmada,244,14,23,52,115,40,2023-01-16,M,C4,94935.0
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,4,1,influenza y neumonia,150,4,24,21,67,34,2023-01-23,F,C2,118519.0
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,4,2,infeccion respiratoria aguda alta,129,8,16,23,66,16,2023-01-23,M,C2,119712.0
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,4,3,bronquitis/bronquiolitis aguda,184,56,49,31,43,5,2023-01-23,M,C5,119117.0
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,4,4,crisis asmática,122,7,17,26,54,18,2023-01-23,F,C5,99722.0
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,4,5,insuficiencia respiratoria aguda,116,6,10,5,40,55,2023-01-23,M,C2,118071.0
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,4,6,covid-19 sospecha/confirmada,159,12,23,27,77,20,2023-01-23,F,C2,163949.0
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,4,1,influenza y neumonia,92,5,10,18,39,20,2023-01-23,F,C5,65514.0
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,4,2,infeccion respiratoria aguda alta,99,6,15,19,46,13,2023-01-23,F,C5,115271.0
